,Comment,Forum,Segments,NoStopPunct
11023,又說人做大種乞衣??!  佢自己糾靚晒收入條數，根本就唔使交稅，佢自己肯定唔會有事，但聽佢講嘅就on9就梗架喇,0,又 說 人 做 大種 乞衣 ? ? !     佢 自己 糾靚 晒 收入 條數 ， 根本 就 唔使 交稅 ， 佢 自己 肯定 唔會 有事 ， 但 聽 佢 講 嘅 就 on9 就 梗 架 喇,人 做 大種 乞衣 糾靚 晒 收入 條數 根本 交稅 肯定 唔會 有事 但 聽 on9 梗 架 喇
11024,唔識返去讀多幾年書先，咪作段甘嘅野比人笑到面黃。,0,唔 識 返去 讀多 幾年 書先 ， 咪 作段 甘 嘅 野 比 人 笑 到 面黃 。,識 返去 讀多 幾年 書先 作段 甘 比 人 笑 面黃
11025,港英政府時有人搞港獨會坐獄的,0,港英政府 時 有人 搞港 獨會 坐獄 的,港英政府 時 有人 搞港 獨會 坐獄
11026,唔怕外國勢力、唔怕無腦廢青、唔軟弱既好政府,0,唔 怕 外國 勢力 、 唔 怕 無腦 廢青 、 唔 軟弱 既 好 政府,怕 外國 勢力 怕 無腦 廢青 軟弱 政府
11027,我極度讚成，稅就交足，福利又無，政府狗官又盡全力打壓中產，一於叫D貪官食自己。,0,我 極度 讚 成 ， 稅就 交足 ， 福利 又 無 ， 政府 狗官 又 盡全力 打壓 中產 ， 一 於 叫 D 貪官 食 自己 。,極度 讚 成 稅就 交足 福利 政府 狗官 盡全力 打壓 中產 一 於 叫 D 貪官 食
11028,傻仔，好多國家都同中國簽，包括台灣。,0,傻仔 ， 好多 國家 都 同 中國 簽 ， 包括 台灣 。,傻仔 好多 國家 中國 簽 包括 台灣
11029,胡志偉……罷撚好嗎？罷就啦！,0,胡 志偉 … … 罷 撚 好 嗎 ？ 罷就 啦 ！,胡 志偉 … … 罷 撚 嗎 罷就 啦
11030,都戇9，夏天交乜春稅,0,都 戇 9 ， 夏天 交乜春稅,戇 9 夏天 交乜春稅
11031,"挑，以為絕食，絕水添
仲有衫着，仲有政府糧出，咁L着數？
不如將D錢唔要，捐L晒佢就話唧！",0,"挑 ， 以為 絕食 ， 絕水添 
 仲有 衫 着 ， 仲有 政府 糧出 ， 咁 L 着數 ？ 
 不如 將 D 錢 唔 要 ， 捐 L 晒 佢 就 話 唧 ！",挑 以為 絕食 絕水添 仲有 衫 着 仲有 政府 糧出 L 着數 將 D 錢 捐 L 晒 唧
11032,如果言聽計從又係咩政府。咁差不如唔好係呢度生活啦。,0,如果 言聽計從 又 係 咩 政府 。 咁 差 不如 唔好 係 呢度 生活 啦 。,言聽計從 政府 差 唔好 生活 啦
11033,港獨狗政棍齊齊唔好出政府糧,0,港 獨狗政棍 齊齊 唔好 出 政府 糧,港 獨狗政棍 齊齊 唔好 出 政府 糧
11034,正黑衣,0,正 黑衣,正 黑衣
11035,我會穿白衣，不會穿黑衣,0,我會 穿 白衣 ， 不會 穿 黑衣,我會 穿 白衣 不會 穿 黑衣
11036,香港成立Guardia di Finanza和工商行政管理局管理他們,0,香港 成立 Guardia   di   F in anza 和 工商行政管理局 管理 他們,香港 成立 Guardia di F in anza 工商行政管理局 管理
11037,又一班小學雞 你地絕埋食不如,0,又 一班 小學 雞   你 地絕 埋食 不如,一班 小學 雞 地絕 埋食
11038,"全港3分1人反對條例，當100萬人上網發表反對言論，阿爺秋後算帳百幾萬人拉哂？
唔該用吓腦",0,"全港 3 分 1 人 反對 條例 ， 當 100 萬人 上網 發表 反對 言論 ， 阿爺 秋後算帳 百 幾萬 人拉 哂 ？ 
 唔 該 用 吓腦",全港 3 分 1 人 反對 條例 當 100 萬人 上網 發表 反對 言論 阿爺 秋後算帳 百 幾萬 人拉 哂 該 用 吓腦
11039,罷L埋食飯、痾屎、屌西、瞓覺…………,0,罷 L 埋 食飯 、 痾 屎 、 屌 西 、 瞓覺 … … … …,罷 L 埋 食飯 痾 屎 屌 西 瞓覺 … … … …
11040,又是呃人犯法的話,0,又 是 呃 人 犯法 的話,呃 人 犯法 的話
11041,說出重點了 師兄好野,0,說出 重點 了   師兄 好野,說出 重點 了 師兄 好野
11042,"佢自己唔使交税叫人擺交税,好心佢咪害人",0,"佢 自己 唔使 交税 叫 人 擺 交税 , 好心 佢 咪 害人",交税 叫 人 擺 交税 好心 害人
11043,當一個地方的政權走向極端，未嘗沒有可能，人類歷史也不是未曾發生過。,0,當 一個 地方 的 政權 走向 極端 ， 未嘗 沒有 可能 ， 人類 歷史 也 不是 未曾 發生 過 。,當 一個 地方 政權 走向 極端 未嘗 人類 歷史 也 未曾 發生
11044,咁搞法睇嚟修訂逃犯條例有必要性及急切性，全力支持修例。,0,咁 搞法 睇 嚟 修訂 逃犯 條例 有 必要性 及 急切 性 ， 全力支持 修例 。,搞法 嚟 修訂 逃犯 條例 必要性 及 急切 性 全力支持 修例
11045,"民主黨主席胡志偉
呢啲人呀阿爺應該做嘢啦
笠佢出公海就啱㗎喇
咁鍾意搞民主捉曬呢啲友仔去埃塞俄比亞嗰度
挑曬啲手筋腳筋剪埋條脷！！
等佢地日日喺果度聞主！！",0,"民主黨 主席 胡 志偉 
 呢啲 人 呀 阿爺 應該 做嘢 啦 
 笠 佢 出 公海 就 啱 㗎 喇 
 咁 鍾意 搞 民主 捉 曬 呢啲 友仔 去 埃塞俄比亞 嗰度 
 挑曬 啲 手筋 腳筋 剪 埋條 脷 ！ ！ 
 等 佢 地 日日 喺 果 度 聞 主 ！ ！",民主黨 主席 胡 志偉 人 阿爺 做嘢 啦 笠 出 公海 啱 㗎 喇 鍾意 搞 民主 捉 曬 友仔 埃塞俄比亞 挑曬 手筋 腳筋 剪 埋條 脷 等 地 日日 果 度 聞 主
11046,一味嚇人。,0,一味 嚇人 。,一味 嚇人
11047,胡硬膠，你咪試下唔交稅囉，罰很到你抽晒根，就知道味道了！,0,胡硬膠 ， 你 咪 試下 唔 交稅 囉 ， 罰 很 到 你 抽 晒 根 ， 就 知道 味道 了 ！,胡硬膠 試下 交稅 囉 罰 很 抽 晒 根 知道 味道 了
11048,是否打亅打到傻？寫D 野都呆9D智障D😂😂😂😂,0,是否 打 亅 打到 傻 ？ 寫 D   野都 呆 9D 智障 D 😂 😂 😂 😂,是否 打 亅 打到 傻 寫 D 野都 呆 9D 智障 D 😂 😂 😂 😂
11049,真係想玩大佢？買定花生。,0,真係 想 玩 大 佢 ？ 買定 花生 。,玩 大 買定 花生
11050,"昨晚暴徒又唔見你出來譴責等等
反而當作理所當然，莫非⋯⋯",0,"昨晚 暴徒 又 唔見 你 出來 譴責 等等 
 反而 當作 理所當然 ， 莫非 ⋯ ⋯",昨晚 暴徒 唔見 出來 譴責 等等 反而 當作 理所當然 莫非
11051,"成日叫人做乜做乜. 但佢地自己就一樣都無做.
叫人罷交稅, 佢自己就交到足, 慌恐比人收幾倍稅金罰款.
到時人地比稅局罰, 佢就會話市民要自行承擔責任. 呢D咪正宗X街.",0,"成日 叫 人 做乜 做乜 .   但 佢 地 自己 就 一樣 都 無 做 . 
 叫 人罷 交稅 ,   佢 自己 就 交到 足 ,   慌恐 比人收 幾倍 稅金 罰款 . 
 到時 人地 比 稅局 罰 ,   佢 就 會 話 市民 要 自行 承擔責任 .   呢 D 咪 正宗 X 街 .",叫 人 做乜 做乜 但 地 一樣 做 叫 人罷 交稅 交到 足 慌恐 比人收 幾倍 稅金 罰款 到時 人地 比 稅局 罰 市民 自行 承擔責任 D 正宗 X 街
11052,是否煽惑罪？,0,是否 煽惑 罪 ？,是否 煽惑 罪
11053,有可能干犯《刑事罪行》第九、 十條有關的煽動罪之行為。,0,有 可能 干犯 《 刑事 罪行 》 第九 、   十條 有關 的 煽動 罪 之 行為 。,干犯 《 刑事 罪行 》 第九 十條 有關 煽動 罪 之 行為
11054,罷交稅，即是害人坐監???小喇叭，又叫人衝,0,罷 交稅 ， 即是 害人 坐監 ? ? ? 小喇叭 ， 又 叫 人衝,罷 交稅 即是 害人 坐監 小喇叭 叫 人衝
11055,煽惑他人不交稅，是刑事罪。拉得。,0,煽惑 他人 不 交稅 ， 是 刑事 罪 。 拉得 。,煽惑 他人 交稅 刑事 罪 拉得
11056,"sorry,他走左回家睇電視。",0,"sorry , 他 走 左 回家 睇 電視 。",sorry 走 左 回家 電視
11057,"食藥啦 妄想症又發作
咁駛唔駛切哂全世界啲男人條賓周呀",0,"食藥 啦   妄想症 又 發作 
 咁 駛 唔 駛切 哂 全世界 啲 男人 條賓周 呀",食藥 啦 妄想症 發作 駛 駛切 哂 全世界 男人 條賓周
11058,昨天胡志偉去了那裡,0,昨天 胡 志偉 去 了 那裡,昨天 胡 志偉 了
11059,有可能干犯《刑事罪行》第九、 十條有關的煽動罪之行為。,0,有 可能 干犯 《 刑事 罪行 》 第九 、   十條 有關 的 煽動 罪 之 行為 。,干犯 《 刑事 罪行 》 第九 十條 有關 煽動 罪 之 行為
11060,呼籲全港支持政府的市民，發起罷買運動，見罷市的店舖，永不光顧！,0,呼籲 全港 支持 政府 的 市民 ， 發起 罷買 運動 ， 見 罷市 的 店 舖 ， 永不 光顧 ！,呼籲 全港 支持 政府 市民 發起 罷買 運動 見 罷市 店 舖 永不 光顧
11061,不如犯氓自己唔交稅先啦，被罰款兼坐監，自己衝先啦,0,不如 犯氓 自己 唔 交稅 先 啦 ， 被 罰款 兼 坐監 ， 自己 衝先 啦,犯氓 交稅 先 啦 被 罰款 兼 坐監 衝先 啦
11062,明知法治不完善，但西班牙又將台灣人送去中國,0,明知 法治 不 完善 ， 但 西班牙 又將 台灣 人 送去 中國,明知 法治 完善 但 西班牙 又將 台灣 人 送去 中國
11063,"香港衰唔影響大陸, 如果一直無視你, 咁到底要罷幾多日先有用??",0,"香港 衰 唔 影響 大陸 ,   如果 一直 無視 你 ,   咁 到底 要罷 幾多 日先 有用 ? ?",香港 衰 影響 大陸 一直 無視 到底 要罷 日先 有用
11064,佢地最叻係講，做就有難度！,0,佢 地 最 叻 係 講 ， 做 就 有 難度 ！,地 叻 做 難度
11065,都唔知咩人來的,0,都 唔知 咩 人來 的,唔知 人來
11066,"佢地唔會覆你架啦
因為根本答唔到你 咪視而不見 佢地最叻架啦",0,"佢 地 唔會 覆 你 架 啦 
 因為 根本 答 唔 到 你   咪 視而不見   佢 地 最 叻 架 啦",地 唔會 覆 架 啦 根本 答 視而不見 地 叻 架 啦
11067,"因為人小囉, 得個 103人發聲",0,"因為 人 小 囉 ,   得個   103 人 發聲",人 小 囉 得個 103 人 發聲
11068,毫沒新意及建設性,0,毫沒 新意 及 建設性,毫沒 新意 及 建設性
11069,要看西班牙經濟實力，但不等同是正確。,0,要 看 西班牙 經濟 實力 ， 但 不等 同是 正確 。,西班牙 經濟 實力 但 不等 同是 正確
11070,拉上大陸 !,0,拉上 大陸   !,拉上 大陸
11071,只同台灣傾一樣都要修改法例,0,只同 台灣 傾 一樣 都 要 修改 法例,只同 台灣 傾 一樣 修改 法例
11072,"又係幾年前的笑話唔交稅加百份幾罰款呀77,唔返工當你攞病假公務員或社褔界自己罷工係要記律處理呀邊個白雲耳猿想出來啲on7777言論呀?",0,"又 係 幾年前 的 笑話 唔 交稅 加 百份 幾 罰款 呀 77 , 唔 返工 當 你 攞 病假 公務員 或社 褔 界 自己 罷工 係 要 記律 處理 呀 邊個 白雲 耳猿想 出來 啲 on7777 言論 呀 ?",幾年前 笑話 交稅 加 百份 罰款 77 返工 當 攞 病假 公務員 或社 褔 界 罷工 記律 處理 白雲 耳猿想 出來 on7777 言論
11073,又唔見佢擺出正苦糧,0,又 唔見 佢 擺出 正苦 糧,唔見 擺出 正苦 糧
11074,自己罷撚到夠啦,0,自己 罷 撚 到夠 啦,罷 撚 到夠 啦
11075,唔交稅、每日做乞兒？,0,唔 交稅 、 每日 做 乞兒 ？,交稅 每日 做 乞兒
11076,點解可以咁冇腦既人都有，你不如去乞食，攞政府綜援仲好啦。,0,點解 可以 咁 冇 腦既人 都 有 ， 你 不如 去 乞食 ， 攞 政府 綜援仲好 啦 。,腦既人 乞食 攞 政府 綜援仲好 啦
11077,"逢係有人講""反修例林鄭下台""金句所有商戶俾九折.
每次見到林鄭真人,倳媒前叫以上金句俾半價一年.",0,"逢 係 有人 講 "" 反修 例林 鄭 下台 "" 金句 所有 商戶 俾 九折 . 
 每次 見到 林鄭 真人 , 倳 媒 前 叫 以上 金句 俾 半價 一年 .",逢 有人 反修 例林 鄭 下台 金句 所有 商戶 俾 九折 每次 見到 林鄭 真人 倳 媒 前 叫 以上 金句 俾 半價 一年
11078,你班政棍同助理應先罷工、罷開會、罷出糧,0,你班政棍 同助 理應 先 罷工 、 罷 開會 、 罷 出糧,你班政棍 同助 理應 先 罷工 罷 開會 罷 出糧
11079,"呢班仆街杏加橙議員自己立即宣佈辭職喇, DLLM.",0,"呢 班仆 街杏加 橙 議員 自己 立即 宣佈 辭職 喇 ,   DLLM .",班仆 街杏加 橙 議員 立即 宣佈 辭職 喇 DLLM
11080,你估係窮鬼國美帝同英國咩，就係香港儲備都超過一萬億，香港政府一年全年開支二千五百億，莫講話真係罷交稅，或者唔交稅，香港庫房都可以頂四年，重未計超過三千億美元嘅 外匯儲備，呢度又頂十年，香港冇嘢多，有兩種嘢多，就係錢多同蠢人多，好似胡生同你咁，真係人蠢都特別蠢過人，唔該用吓腦分析先。,0,你估 係 窮鬼 國美 帝同 英國 咩 ， 就係 香港 儲備 都 超過 一萬億 ， 香港政府 一年 全年 開支 二千五百 億 ， 莫講話 真係 罷 交稅 ， 或者 唔 交稅 ， 香港 庫房 都 可以 頂 四年 ， 重未計 超過 三千 億美元 嘅   外匯儲備 ， 呢度 又 頂 十年 ， 香港 冇嘢 多 ， 有 兩種 嘢 多 ， 就係 錢多同 蠢人 多 ， 好似 胡生 同 你 咁 ， 真係 人蠢 都 特別 蠢 過人 ， 唔 該 用 吓腦 分析 先 。,你估 窮鬼 國美 帝同 英國 就係 香港 儲備 超過 一萬億 香港政府 一年 全年 開支 二千五百 億 莫講話 罷 交稅 交稅 香港 庫房 頂 四年 重未計 超過 三千 億美元 外匯儲備 頂 十年 香港 冇嘢 兩種 就係 錢多同 蠢人 好似 胡生 人蠢 特別 蠢 過人 該 用 吓腦 分析 先
11081,對，但就不會引發咁大爭議。,0,對 ， 但 就 不會 引發 咁 大 爭議 。,對 但 不會 引發 大 爭議
11082,胡志偉我幾驚驚你叫罷叫雞呀！我叫小一日雞雞都辛苦呀！,0,胡 志偉 我 幾驚 驚 你 叫 罷叫 雞 呀 ！ 我 叫 小 一日 雞雞 都 辛苦 呀 ！,胡 志偉 幾驚 驚 叫 罷叫 雞 叫 小 一日 雞雞 辛苦
11083,X佢老母，唔夠票玩焗動無知群眾，破壞香港經濟。正人渣。,0,X 佢 老母 ， 唔 夠票 玩 焗 動 無知 群眾 ， 破壞 香港 經濟 。 正 人渣 。,X 老母 夠票 玩 焗 動 無知 群眾 破壞 香港 經濟 正 人渣
11084,"白痴，罷交稅要罰錢附加費，再唔交連你老細都會知🤣
社福界罷工...特殊兒童無人理，老人院院友自生自滅🤣",0,"白痴 ， 罷 交稅 要 罰錢 附加費 ， 再 唔 交連 你 老細 都 會知 🤣 
 社福界 罷工 ... 特殊 兒童 無人 理 ， 老人院 院友 自生自滅 🤣",白痴 罷 交稅 罰錢 附加費 交連 老細 會知 🤣 社福界 罷工 ... 特殊 兒童 無人 理 老人院 院友 自生自滅 🤣
11085,好呀，即管不交稅，睇下還可否正常出到境。出咗境都唔好返來呀，必定通緝走私漏稅的人。,0,好呀 ， 即管 不 交稅 ， 睇 下還 可否 正常 出到 境 。 出 咗 境 都 唔好 返來 呀 ， 必定 通緝 走私 漏稅 的 人 。,好呀 即管 交稅 下還 可否 正常 出到 境 出 境 唔好 返來 必定 通緝 走私 漏稅 人
11086,好主意！仲有老綜人士,0,好 主意 ！ 仲有 老綜 人士,主意 仲有 老綜 人士
11087,你有一日著左黑衫都當你支持,0,你 有 一日 著 左 黑衫 都當 你 支持,一日 著 左 黑衫 都當 支持
11088,又係叫市民去犯法,0,又 係 叫 市民 去 犯法,叫 市民 犯法
11089,邊個遊行取消佢間公屋，取消佢2蚊坐車,0,邊個 遊行 取消 佢 間 公屋 ， 取消 佢 2 蚊 坐車,遊行 取消 間 公屋 取消 2 蚊 坐車
11090,香港漢奸走狗多得很！,0,香港 漢奸走狗 多得很 ！,香港 漢奸走狗 多得很
11091,你有冇資格拉返去大陸先?,0,你 有冇 資格 拉 返去 大陸 先 ?,資格 拉 返去 大陸 先
11092,香港不能成為逃犯天堂！,0,香港 不能 成為 逃犯 天堂 ！,香港 不能 成為 逃犯 天堂
11093,"煽動罪又可判緩刑
嚴重犯法都唔使坐監
現今社會已變畸形了",0,"煽動 罪 又 可判 緩刑 
 嚴重 犯法 都 唔使 坐監 
 現今 社會 已變 畸形 了",煽動 罪 可判 緩刑 嚴重 犯法 坐監 現今 社會 已變 畸形 了
11094,"唔交稅咪申請凍結佢資產囉 
所有信用咭即刻瓜柴",0,"唔 交稅 咪 申請 凍結 佢 資產 囉   
 所有 信用咭 即刻 瓜柴",交稅 申請 凍結 資產 囉 所有 信用咭 即刻 瓜柴
11095,"更可以, 自己做L曬拒",0,"更 可以 ,   自己 做 L 曬 拒",更 做 L 曬 拒
11096,條友不如天天賴埋屎,0,條友 不如 天天 賴埋 屎,條友 天天 賴埋 屎
11097,"屌
你究竟有冇腦架
睇黎玩咪呢屆都冇得玩",0,"屌 
 你 究竟 有冇 腦架 
 睇 黎玩 咪 呢 屆 都 冇得 玩",屌 究竟 腦架 黎玩 屆 冇得 玩
11098,支持他們,0,支持 他們,支持
11099,可只簽台灣。,0,可 只簽 台灣 。,可 只簽 台灣
11100,到底係咩野人攪亂香港?一目了然，逃犯條例根本就係籍口，有人唯恐天下不亂，外通西人國攪亂香港先係其真正目的。,0,到底 係 咩 野人 攪亂 香港 ? 一目了然 ， 逃犯 條例 根本 就係 籍口 ， 有人 唯恐天下 不亂 ， 外通 西人國 攪亂 香港 先 係 其 真正 目的 。,到底 野人 攪亂 香港 一目了然 逃犯 條例 根本 就係 籍口 有人 唯恐天下 不亂 外通 西人國 攪亂 香港 先 其 真正 目的
11101,能交稅的人是什麼人.......胡白痴知道嗎..........!!,0,能 交稅 的 人 是 什麼 人 ....... 胡 白痴 知道 嗎 .......... ! !,能 交稅 人 人 ....... 胡 白痴 知道 嗎 ..........
11102,"我地持胡志偉罷交稅
最後叫晒泛民議員罷交薪俸稅物業稅公司稅",0,"我 地持 胡 志偉 罷 交稅 
 最後 叫 晒 泛民 議員 罷交 薪俸 稅 物業稅 公司 稅",地持 胡 志偉 罷 交稅 最後 叫 晒 泛民 議員 罷交 薪俸 稅 物業稅 公司 稅
11103,"問題係，法例寫明香港可以與外國簽引渡協議，但中華人民共和國其他部份除外
台灣係中國一部份，中華人民共和國係唯一代表中國合法政府
香港單獨同台灣傾，係違反一個中國政策
所以，要引渡去台灣必須修例",0,"問題 係 ， 法例 寫明 香港 可以 與 外國 簽 引渡 協議 ， 但 中華人民共和國 其他 部份 除外 
 台灣 係 中國 一部 份 ， 中華人民共和國 係 唯一 代表 中國 合法政府 
 香港 單獨 同 台灣 傾 ， 係 違反 一個 中國 政策 
 所以 ， 要 引渡 去 台灣 必須 修例",問題 法例 寫明 香港 外國 簽 引渡 協議 但 中華人民共和國 部份 除外 台灣 中國 一部 份 中華人民共和國 唯一 代表 中國 合法政府 香港 單獨 台灣 傾 違反 一個 中國 政策 引渡 台灣 必須 修例
